,Feature,Target,Best_Transform,Max_Abs_Corr,Gain
92,V_ST,SO2_target_15,ewm_14,0.803664,0.065419
94,V_ST,CO_target_15,ewm_14,0.770137,0.068291
88,V_ST,NO_target_15,ewm_14,0.728472,0.053611
95,V_ST,CO_target_30,ewm_100,0.528003,0.032751
93,V_ST,SO2_target_30,ewm_100,0.506427,0.006536
89,V_ST,NO_target_30,Original,0.440157,0.0
54,t_avg2,CO_target_15,ewm_100,0.432445,0.047397
55,t_avg2,CO_target_30,ewm_100,0.430885,0.045221
14,f_avg2,CO_target_15,rolling_100,0.337435,0.315732
15,f_avg2,CO_target_30,rolling_100,0.324679,0.31973
60,raz_avg,SO2_target_15,rolling_100,0.315117,0.066529
61,raz_avg,SO2_target_30,rolling_100,0.312461,0.06797
82,t_avg_b_y,NO2_target_15,rolling_100,0.31205,0.26888
83,t_avg_b_y,NO2_target_30,rolling_100,0.311924,0.267608
6,f_avg,CO_target_15,rolling_100,0.311309,0.30448
7,f_avg,CO_target_30,rolling_100,0.311181,0.284422
46,t_avg,CO_target_15,ewm_100,0.307898,0.090542
47,t_avg,CO_target_30,ewm_100,0.304415,0.080986
107,T_ST,NO2_target_30,rolling_100,0.274092,0.09767
106,T_ST,NO2_target_15,rolling_100,0.274016,0.09431
53,t_avg2,SO2_target_30,rolling_100,0.24946,0.053361
45,t_avg,SO2_target_30,ewm_100,0.244816,0.090046
52,t_avg2,SO2_target_15,rolling_100,0.243205,0.047685
44,t_avg,SO2_target_15,ewm_100,0.241145,0.076776
49,t_avg2,NO_target_30,rolling_100,0.230472,0.046814
48,t_avg2,NO_target_15,rolling_100,0.224648,0.047078
8,f_avg2,NO_target_15,rolling_100,0.223858,0.210704
9,f_avg2,NO_target_30,rolling_100,0.222669,0.214067
0,f_avg,NO_target_15,rolling_100,0.21569,0.205802
1,f_avg,NO_target_30,rolling_100,0.210406,0.197267
77,t_avg_b_x,SO2_target_30,rolling_100,0.1991,0.120672
2,f_avg,NO2_target_15,rolling_100,0.197346,0.186186
76,t_avg_b_x,SO2_target_15,rolling_100,0.196926,0.122642
51,t_avg2,NO2_target_30,ewm_100,0.195632,0.032872
3,f_avg,NO2_target_30,rolling_100,0.193875,0.183133
50,t_avg2,NO2_target_15,ewm_100,0.193571,0.031856
11,f_avg2,NO2_target_30,rolling_100,0.190573,0.178884
10,f_avg2,NO2_target_15,rolling_100,0.189116,0.177718
75,t_avg_b_x,NO2_target_30,rolling_100,0.186289,0.117806
22,P_avg,CO_target_15,rolling_100,0.185648,0.166066
74,t_avg_b_x,NO2_target_15,rolling_100,0.185587,0.116057
40,t_avg,NO_target_15,rolling_100,0.18334,0.052702
41,t_avg,NO_target_30,ewm_100,0.182236,0.057871
97,P_ST,NO_target_30,ewm_100,0.17808,0.043268
96,P_ST,NO_target_15,ewm_100,0.177137,0.038212
62,raz_avg,CO_target_15,rolling_30,0.174383,0.035107
23,P_avg,CO_target_30,rolling_100,0.173417,0.173182
63,raz_avg,CO_target_30,rolling_60,0.171511,0.038518
42,t_avg,NO2_target_15,ewm_100,0.159082,0.034935
43,t_avg,NO2_target_30,ewm_100,0.155018,0.03963
37,kal_avg,SO2_target_30,ewm_100,0.1521,0.048572
68,raz_avg2,SO2_target_15,ewm_60,0.150901,0.087406
36,kal_avg,SO2_target_15,ewm_100,0.150516,0.045884
69,raz_avg2,SO2_target_30,ewm_60,0.146559,0.086838
100,P_ST,SO2_target_15,rolling_100,0.143707,0.035241
101,P_ST,SO2_target_30,rolling_100,0.142891,0.030296
26,P_avg2,NO2_target_15,rolling_100,0.138289,0.133128
31,P_avg2,CO_target_30,rolling_100,0.137494,0.115933
27,P_avg2,NO2_target_30,rolling_100,0.137157,0.132213
19,P_avg,NO2_target_30,rolling_100,0.136411,0.130826
18,P_avg,NO2_target_15,rolling_100,0.136218,0.130589
109,T_ST,SO2_target_30,ewm_100,0.131019,0.055637
30,P_avg2,CO_target_15,rolling_100,0.126887,0.122109
108,T_ST,SO2_target_15,ewm_100,0.125454,0.05593
71,raz_avg2,CO_target_30,rolling_60,0.120237,0.079646
70,raz_avg2,CO_target_15,rolling_100,0.119154,0.072321
34,kal_avg,NO2_target_15,rolling_100,0.113114,0.035005
