,Unnamed: 0,datetime,"NO","NO2","NOx","SO2","CO","NOtr","NO2tr","Массовый выброс за час NO, кг/ч","Массовый выброс за час NO2, кг/ч","Массовый выброс за час NOx, кг/ч","Массовый выброс за час SO2, кг/ч","Массовый выброс за час CO, кг/ч","Массовый выброс за час NOtr, кг/ч","Массовый выброс за час NO2tr, кг/ч","Валовый выброс NO, т/г","Валовый выброс NO2, т/г","Валовый выброс NOx, т/г","Валовый выброс SO2, т/г","Валовый выброс CO, т/г","Валовый выброс NOtr, т/г","Валовый выброс NO2tr, т/г"
0,0,2026-01-12 00:00:01.032,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
1,1,2026-01-12 00:00:03.057,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
2,2,2026-01-12 00:00:06.038,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
3,3,2026-01-12 00:00:09.053,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
4,4,2026-01-12 00:00:12.031,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
5,5,2026-01-12 00:00:15.031,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
6,6,2026-01-12 00:00:18.038,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
7,7,2026-01-12 00:00:21.030,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
8,8,2026-01-12 00:00:24.040,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
9,9,2026-01-12 00:00:27.023,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
10,10,2026-01-12 00:00:30.060,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
11,11,2026-01-12 00:00:33.024,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
12,12,2026-01-12 00:00:36.066,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
13,13,2026-01-12 00:00:39.027,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
14,14,2026-01-12 00:00:42.036,14.675,0.911,23.287,23.107,36.63,5.356,15.137,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
15,15,2026-01-12 00:00:45.033,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
16,16,2026-01-12 00:00:48.021,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
17,17,2026-01-12 00:00:51.027,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
18,18,2026-01-12 00:00:54.027,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
19,19,2026-01-12 00:00:57.048,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
20,20,2026-01-12 00:01:00.031,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
21,21,2026-01-12 00:01:03.026,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
22,22,2026-01-12 00:01:06.022,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
23,23,2026-01-12 00:01:09.028,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
24,24,2026-01-12 00:01:12.021,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
25,25,2026-01-12 00:01:15.032,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
26,26,2026-01-12 00:01:18.027,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
27,27,2026-01-12 00:01:21.027,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
28,28,2026-01-12 00:01:24.023,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
29,29,2026-01-12 00:01:27.041,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
30,30,2026-01-12 00:01:30.037,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
31,31,2026-01-12 00:01:33.032,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
32,32,2026-01-12 00:01:36.038,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
33,33,2026-01-12 00:01:39.037,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
34,34,2026-01-12 00:01:42.048,14.682,0.93,23.312,23.151,36.524,5.362,15.153,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
35,35,2026-01-12 00:01:45.030,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
36,36,2026-01-12 00:01:48.031,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
37,37,2026-01-12 00:01:51.037,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
38,38,2026-01-12 00:01:54.041,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
39,39,2026-01-12 00:01:57.037,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
40,40,2026-01-12 00:02:00.035,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
41,41,2026-01-12 00:02:04.326,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
42,42,2026-01-12 00:02:06.033,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
43,43,2026-01-12 00:02:09.037,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
44,44,2026-01-12 00:02:12.049,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
45,45,2026-01-12 00:02:15.070,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
46,46,2026-01-12 00:02:18.053,14.682,0.949,23.337,23.194,36.419,5.368,15.169,45.281,2.668,71.807,69.059,112.093,16.517,46.674,71.362,2.551,111.47,386.584,155.319,25.638,72.456
